field_id,crop_type,variety,soil_type,fertilizer,irrigation_type,planting_date,harvest_date,area_hectares,yield_tons,rainfall_mm,avg_temperature_c,pest_incidence,disease_incidence,profit_usd
F001,Wheat,Winter_Red,Clay,Organic,Drip,2023-10-15,2024-06-20,12.5,48.2,425,14.2,Low,None,18500
F002,Corn,Yellow_Dent,Loam,Synthetic,Sprinkler,2024-04-10,2024-09-15,18.0,142.5,380,22.5,Medium,Low,42000
F003,Soybean,Early_Maturing,Sandy_Loam,Organic,Drip,2024-05-01,2024-10-01,15.2,38.5,320,21.8,Low,None,28500
F004,Rice,Long_Grain,Clay,Synthetic,Flood,2024-03-20,2024-08-25,22.0,132.0,580,26.2,High,Medium,35000
F005,Wheat,Spring_White,Loam,Organic,Sprinkler,2024-03-01,2024-08-10,10.8,35.8,395,15.8,Low,Low,13200
F006,Corn,Sweet,Sandy_Loam,Synthetic,Drip,2024-04-25,2024-08-30,8.5,52.8,345,23.1,Low,None,24500
F007,Soybean,High_Protein,Clay_Loam,Organic,Sprinkler,2024-05-15,2024-10-10,20.0,55.2,335,20.5,Medium,Low,41000
F008,Rice,Medium_Grain,Clay,Synthetic,Flood,2024-04-01,2024-09-05,25.5,158.5,620,25.8,Medium,Medium,45000
F009,Wheat,Durum,Loam,Synthetic,Drip,2023-11-01,2024-07-05,14.2,52.5,410,14.8,Low,None,21500
F010,Corn,Popcorn,Sandy,Organic,Sprinkler,2024-05-05,2024-09-20,6.2,28.5,295,22.8,Low,Low,15800
F011,Soybean,Late_Maturing,Loam,Synthetic,Drip,2024-05-20,2024-10-25,18.5,52.8,350,21.2,Low,None,39200
F012,Rice,Short_Grain,Clay,Organic,Flood,2024-03-15,2024-08-20,28.0,145.0,595,26.5,High,High,38500
F013,Wheat,Hard_Red,Clay_Loam,Organic,Sprinkler,2023-10-20,2024-06-25,16.8,62.5,440,14.5,Medium,Low,24800
F014,Corn,Flint,Loam,Synthetic,Drip,2024-04-15,2024-09-10,12.0,92.5,365,23.5,Low,None,32500
F015,Soybean,Conventional,Sandy_Loam,Synthetic,Sprinkler,2024-05-10,2024-10-05,14.0,36.8,310,21.5,Medium,Medium,25500
F016,Rice,Aromatic,Clay,Synthetic,Flood,2024-04-05,2024-09-10,20.0,98.5,560,25.2,Low,Low,48000
F017,Wheat,Soft_White,Loam,Synthetic,Drip,2024-02-25,2024-08-05,11.5,42.2,385,15.2,Low,None,16500
F018,Corn,Dent,Clay_Loam,Organic,Sprinkler,2024-04-20,2024-09-25,15.5,108.5,375,22.2,Medium,Low,35500
F019,Soybean,Non_GMO,Loam,Organic,Drip,2024-05-25,2024-10-15,22.5,65.2,340,20.8,Low,None,52000
F020,Rice,Jasmine,Clay,Organic,Flood,2024-03-25,2024-08-30,18.5,88.5,545,26.0,Medium,Low,55000
